"Konsert för piano, två ansikten och en fortsättning","Konsert för piano, två ansikten och en fortsättning","1968.0","Peter Kylberg","4.0","2014-02-19 15:14:59",""
"En kortfilm av Peter Kylberg","En kortfilm av Peter Kylberg","1963.0","Peter Kylberg","2.0","2014-02-19 15:14:47",""
"Beirut Outtakes","Beirut Outtakes","2007.0","Peggy Ahwesh","3.0","2014-01-19 00:09:08",""
"Mercy","Mercy","1989.0","Abigail Child","3.0","2014-01-18 23:06:30",""
"Viet Flakes","Viet Flakes","1965.0","Carolee Schneemann","2.0","2014-01-18 22:52:08",""
"Så nära","Så nära","2010.0","Emelie Wallgren, Ina Holmqvist","3.0","2014-01-09 08:41:43",""
"Muhammed","Muhammed","2011.0","Maciej Kalymon","4.0","2014-01-09 08:39:28",""
"Peyote Queen","Peyote Queen","1965.0","Storm De Hirsch","2.0","2014-01-03 23:26:23",""
"Arabesque for Kenneth Anger ","Arabesque for Kenneth Anger ","1961.0","Marie Menken","2.0","2014-01-03 23:14:00",""
"Divinations","Divinations","1964.0","Storm de Hirsch","3.0","2014-01-03 23:02:51",""
"Sailboat","Sailboat","1967.0","Joyce Wieland","1.0","2014-01-03 23:02:29",""
"Annelise Frankfurt","Annelise Frankfurt","2013.0","Martina Hoogland Ivanow","4.0","2013-11-12 08:27:12",""
"Afrique 50","Afrique 50","1950.0","René Vautier","5.0","2013-01-04 18:31:05",""
"Les pigeons du square","Les pigeons du square","1982.0","Jean Painlevé","2.0","2012-12-19 23:35:55",""
"Abstract Experiment in Kodachrome","Abstract Experiment in Kodachrome","1940.0","Slavko Vorkapich","3.0","2012-11-12 19:40:33",""
"Sztandar mlodych","Sztandar mlodych","1957.0","Walerian Borowczyk, Jan Lenica","3.0","2011-09-19 12:52:13",""
"Writing on Water","Writing on Water","2005.0","Peter Greenaway","2.0","2011-08-31 23:28:04",""
"TZ","TZ","1979.0","Robert Breer","3.0","2011-02-28 21:54:11",""
"Une Mission Ephemere","Une Mission Ephemere","1993.0","Piotr Kamler","4.0","2011-02-26 22:58:37",""
"Ghost","Ghost","1984.0","Takashi Ito (II)","4.0","2011-02-24 16:48:48",""
"Katami","Katami","1963.0","Nobuhiko Obayashi","3.0","2011-02-23 23:29:42",""
"Judge","Yami no Shihosha Judge","1991.0","Hiroshi Negishi","2.0","2010-07-27 00:17:35",""
"One: A Space Odyssey","One: A Space Odyssey","2004.0","Tim Drage, Tony Mines","2.0","2010-05-16 23:46:44",""
"Mexicali","Mexicali","2009.0","Max Herrlander, Juan Palacio","4.0","2010-02-20 23:57:03",""
"Mysigt på Möllan","Mysigt på Möllan","2006.0","Henrik Möller","2.0","2010-02-17 23:23:41",""
"Ola Svensson Superstar","Ola Svensson Superstar","2010.0","Stefan Berg","3.0","2010-02-09 09:19:02",""
"Som en fågel","Som en fågel","2008.0","Lucia von Horn Pagano","2.0","2010-02-02 20:02:38",""
"Hemligheten","Hemligheten","2009.0","Martin Jönsson, Pontus Hjorthén","3.0","2009-12-01 20:42:25",""
"Att sova och drömma om mat","Att sova och drömma om mat","2009.0","Eva-Marie Elg","4.0","2009-11-01 21:00:34",""
"Love Runs Faster Than Blood","Love Runs Faster Than Blood","2007.0","Hideki Kitagawa","3.0","2009-07-12 11:17:08",""
"The Orchard","Guo Yuan","2007.0","Hu Ze","4.0","2009-07-12 11:00:36",""
"Behind Your Walls","Behind Your Walls","1970.0","Frans Zwartjes","3.0","2009-06-12 09:40:01",""
"Birds, One","Birds, One","1968.0","Frans Zwartjes","2.0","2009-06-12 09:27:04",""
"Poème électronique","Poème électronique","1958.0","Le Corbusier","4.0","2009-06-12 09:05:27",""
"Malek Khorshid","Malek Khorshid","1975.0","Ali Akbar Sadeghi","3.0","2009-06-12 08:39:12",""
"Sture","Sture","2007.0","Bengt Andersson","3.0","2008-10-26 22:55:05",""
"Hard Joe","Hard Joe","2005.0","Andreas Öhman","3.0","2007-12-02 14:53:55",""
"Blomkål och morötter","Blomkål och morötter","2006.0","Andreas Öhman, Oskar Gullstrand","3.0","2007-12-02 14:53:44",""
"Sorbet 3","Sorbet 3","1968.0","Frans Zwartjes","4.0","2007-11-18 02:09:48",""
"Sámi nieida jojk","Sámi nieida jojk","2007.0","Liselotte Wajstedt","2.0","2007-10-08 20:49:02",""
"Fluxfilm 37","Fluxfilm 37","1970.0","Peter Kennedy, Mike Parr","2.0","2007-06-25 00:05:14",""
"Fluxfilm 36","Fluxfilm 36","1970.0","Peter Kennedy, Mike Parr","1.0","2007-06-25 00:03:35",""
"KISS KISS KISS","KISS KISS KISS","1964.0","Tadanori Yokoo","3.0","2007-05-08 00:12:49",""
"Zupa","Zupa","1974.0","Zbigniew Rybczynski","3.0","2007-04-17 23:43:39",""
"Kwadrat","Kwadrat","1972.0","Zbigniew Rybczynski","3.0","2007-04-17 23:43:10",""
"Mutoscope Reels","Mutoscope Reels","1945.0","Oskar Fischinger","2.0","2007-04-16 10:11:02",""
"Grundkurs i spanska","Grundkurs i spanska","2006.0","Johan Wanloo","3.0","2007-04-13 11:45:21",""
"Belfast Girls","Belfast Girls","2006.0","Malin Andersson","3.0","2007-04-09 12:29:09",""
"Nunnan","Nunnan","2007.0","Maud Nycander","3.0","2007-04-09 12:22:21",""
"Fuji","Fuji","1974.0","Robert Breer","2.0","2007-03-29 10:18:45",""
"Tillväxtsjukan","Tillväxtsjukan","2006.0","Klara Swantesson","2.0","2007-03-23 08:45:51",""
"Hostage","Kilnieks","2006.0","Laila Pakalnina","1.0","2007-03-22 23:05:55",""
"Epilog","Epilog","2006.0","Stefan Jarl","2.0","2007-03-01 23:59:58",""
"Fluxfilm 25: The Evil Faerie","Fluxfilm 25: The Evil Faerie","1966.0","Owen Land","2.0","2007-02-02 10:49:44",""
"Friendly Fire","Friendly Fire","2003.0","Thorsten Fleisch","4.0","2007-01-13 18:40:15",""
"Linerboard","Linerboard","2006.0","Jens Jonsson","3.0","2006-11-28 11:43:07",""
"News","News","2006.0","Ursula Ferrara","2.0","2006-11-28 11:42:17",""
"Joyride","Joyride","2006.0","Margaret Corkery","3.0","2006-11-28 11:41:08",""
"Iron","Iron","2006.0","Hiroyuki Nakano","3.0","2006-11-28 11:40:59",""
"Green","Green","2006.0","Happy","1.0","2006-11-28 11:40:37",""
"Enligt lag","Enligt lag","1957.0","Peter Weiss, Hans Nordenström","3.0","2006-11-28 11:37:26",""
"Ansikten i skugga","Ansikten i skugga","1956.0","Peter Weiss","2.0","2006-11-28 11:37:17",""
"Ateljéinteriör","The studio of Dr Faust","1956.0","Peter Weiss","3.0","2006-11-28 11:37:01",""
"Metastasis","Metastasis","1971.0","Toshio Matsumoto","2.0","2006-11-10 01:28:16",""
"Tsuburekakatta migime no tame ni","Tsuburekakatta migime no tame ni","1968.0","Toshio Matsumoto","4.0","2006-11-09 13:27:53",""
"White Hole","White Hole","1979.0","Toshio Matsumoto","3.0","2006-11-09 13:27:22",""
"Ishi no uta","Ishi no uta","1963.0","Toshio Matsumoto","4.0","2006-11-09 12:52:52",""
"Relation","Relation","1982.0","Toshio Matsumoto","2.0","2006-11-09 12:23:05",""
"Mona Lisa","Mona Lisa","1973.0","Toshio Matsumoto","2.0","2006-11-09 12:11:44",""
"Connection","Connection","1981.0","Toshio Matsumoto","4.0","2006-11-09 12:11:13",""
"Kievskiy Freskiy","Kievskiy Freskiy","1966.0","Sergej Parajanov","3.0","2006-10-24 00:20:37",""
"Seishonen no tame no eiga nyumon 2","Seishonen no tame no eiga nyumon 2","1974.0","Shuji Terayama","2.0","2006-10-06 10:25:03",""
"Det var en gång","Det var en gång","1975.0","Eric M Nilsson","2.0","2006-10-04 17:55:46",""
"Kameliapojken","Kameliapojken","1983.0","Eric M Nilsson","2.0","2006-10-04 00:34:52",""
"Midvinterblot","Midvinterblot","1946.0","Gösta Werner","3.0","2006-10-04 00:02:38",""
"Europa 1900","Europa 1900","1968.0","Eric M Nilsson","3.0","2006-09-30 20:32:35",""
"Organic Fragment","Organic Fragment","1941.0","Oskar Fischinger","3.0","2006-09-26 02:40:54",""
"Den assimilerade vildhunden","Den assimilerade vildhunden","2003.0","Jakob Berglund","3.0","2006-09-03 11:04:38",""
"Flow","Flow","2002.0","Jakob Berglund","3.0","2006-09-03 11:04:11",""
"Seishonen no tame no eiga nyumon","Seishonen no tame no eiga nyumon","1974.0","Shuji Terayama","3.0","2006-09-01 23:13:31",""
"The Attempt which describes the Short Length Priest","Issun Bosi O Kijutsu Sura Kokoromi","1977.0","Shuji Terayama","3.0","2006-07-27 02:54:33",""
"Butterfly Dress Pledge","Cho fuku ki","1974.0","Shuji Terayama","3.0","2006-07-14 16:26:37",""
"Fluxfilm 08: 1000 Frames","Fluxfilm 08: 1000 Frames","1966.0","George Maciunas","1.0","2006-05-17 01:36:04",""
"Fluxfilm 07: 10 Feet","Fluxfilm 07: 10 Feet","1966.0","George Maciunas","1.0","2006-05-17 01:35:43",""
"Fluxfilm 06: 9 Minutes","Fluxfilm 06: 9 Minutes","1966.0","James Riddle","1.0","2006-05-17 01:35:22",""
"Fluxfilm 05: Blink","Fluxfilm 05: Blink","1966.0","John Cavanaugh","1.0","2006-04-06 10:06:27",""
"Fluxfilm 04: Disappearing Music for Face","Fluxfilm 04: Disappearing Music for Face","1966.0","Chieko Shiomi","1.0","2006-04-06 10:06:02",""
"Fluxfilm 03: End After 9","Fluxfilm 03: End After 9","1966.0","George Maciunas","1.0","2006-04-06 09:56:03",""
"Fluxfilm 02: Invocation of Canyons and Boulders","Fluxfilm 02: Invocation of Canyons and Boulders","1966.0","Dick Higgins","2.0","2006-04-06 09:54:05",""
